"reviews_count","number_of_apps","percentage_of_total","avg_rating"
78,"3","0.06","3.7333333492279053"
79,"5","0.11","4.280000066757202"
80,"6","0.13","4.333333373069763"
81,"7","0.15","4.157142911638532"
82,"5","0.11","4.060000085830689"
83,"7","0.15","4.685714244842529"
84,"9","0.19","4.7777778307596845"
85,"2","0.04","4.650000095367432"
86,"5","0.11","4.780000114440918"
87,"6","0.13","4.700000047683716"
88,"1","0.02","3.700000047683716"
89,"6","0.13","4.650000095367432"
90,"5","0.11","4.7000000953674315"
91,"5","0.11","4.720000076293945"
92,"3","0.06","3.933333396911621"
93,"4","0.08","4.250000059604645"
94,"6","0.13","4.800000031789144"
95,"3","0.06","4.566666603088379"
96,"6","0.13","4.750000079472859"
97,"2","0.04","4.650000095367432"
98,"3","0.06","4.100000063578288"
99,"3","0.06","4.933333396911621"
100,"5","0.11","4.780000019073486"
101,"3","0.06","4.266666650772095"
102,"7","0.15","4.614285741533552"
103,"2","0.04","4.25"
104,"3","0.06","3.6333332856496177"
105,"3","0.06","4.3666666348775225"
106,"3","0.06","4.600000063578288"
107,"7","0.15","4.700000013623919"
108,"2","0.04","4"
109,"4","0.08","4.725000023841858"
110,"1","0.02","4.599999904632568"
111,"3","0.06","4.5"
112,"3","0.06","4.300000031789144"
113,"3","0.06","4.833333333333333"
114,"1","0.02","4.900000095367432"
115,"4","0.08","4.7500001192092896"
116,"4","0.08","4.799999952316284"
117,"3","0.06","4.6333333651224775"
118,"2","0.04","4.700000047683716"
119,"2","0.04","4.700000047683716"
120,"6","0.13","4.833333412806193"
121,"4","0.08","4.5"
122,"4","0.08","4.675000071525574"
123,"6","0.13","4.46666665871938"
125,"7","0.15","4.657142843518939"
126,"6","0.13","4.616666714350383"
